,titles,authors,goodreads links
134,The Lost Track of Time,Paige Britt,https://www.goodreads.com/book/show/23013689-the-lost-track-of-time
135,"The Crystal of Yggdrasil (Aki and the Spheres of Time, #1)",Gianni Perticaroli,https://www.goodreads.com/book/show/28493748-the-crystal-of-yggdrasil
136,Adventures with Waffles,Maria Parr,https://www.goodreads.com/book/show/22926580-adventures-with-waffles
137,"The Boy Who Lost Fairyland (Fairyland, #4)",Catherynne M. Valente,https://www.goodreads.com/book/show/18961361-the-boy-who-lost-fairyland
138,"The Only Game (Home Team, #1)",Mike Lupica,https://www.goodreads.com/book/show/22546586-the-only-game
139,"The Evertree (Spirit Animals, #7)",Marie Lu,https://www.goodreads.com/book/show/18114578-the-evertree
140,The Secret Cipher,Whitaker Ringwald,https://www.goodreads.com/book/show/22500584-the-secret-cipher
141,Waiting for Unicorns,Beth Hautala,https://www.goodreads.com/book/show/21817052-waiting-for-unicorns
142,"Alistair Grim's Odditorium (Odditorium, #1)",Gregory Funaro,https://www.goodreads.com/book/show/18663615-alistair-grim-s-odditorium
143,The Other Side of Eve,Paul Ikin,https://www.goodreads.com/book/show/22395401-the-other-side-of-eve
144,The Friendship Riddle,Megan Frazer Blakemore,https://www.goodreads.com/book/show/22929593-the-friendship-riddle
145,Moonpenny Island,Tricia Springstubb,https://www.goodreads.com/book/show/22328530-moonpenny-island
146,Maisy and the Mystery Manor (The Maisy Files #3),Elizabeth Woodrum,https://www.goodreads.com/book/show/27099759-maisy-and-the-mystery-manor
147,"The Taken (Foxcraft, #1)",Inbali Iserles,https://www.goodreads.com/book/show/24999030-the-taken
148,"The Loch Ness Punster (43 Old Cemetery Road, #7)",Kate Klise,https://www.goodreads.com/book/show/22749761-the-loch-ness-punster
149,Wonder at the Edge of the World,Nicole Helget,https://www.goodreads.com/book/show/22875074-wonder-at-the-edge-of-the-world
150,"The Fog Diver (The Fog Diver, #1)",Joel N. Ross,https://www.goodreads.com/book/show/23215464-the-fog-diver
151,"Eden's Wish (Eden of the Lamp, #1)",M. Tara Crowl,https://www.goodreads.com/book/show/24397045-eden-s-wish
152,"Searching for Super (Almost Super, #2)",Marion Jensen,https://www.goodreads.com/book/show/22138360-searching-for-super
153,"I Totally Funniest: A Middle School Story (I Funny, #3)",James Patterson,https://www.goodreads.com/book/show/22208289-i-totally-funniest
154,Baba Yaga's Assistant,Marika McCoola,https://www.goodreads.com/book/show/24727085-baba-yaga-s-assistant
155,"The Pirate Who's Afraid of Everything (Shivers!, #1)",Annabeth Bondor-Stone,https://www.goodreads.com/book/show/22500607-the-pirate-who-s-afraid-of-everything
156,"Fires of Invention (Mysteries of Cove, #1)",J. Scott Savage,https://www.goodreads.com/book/show/25205326-fires-of-invention
