,rank,title,author,publisher,date,amazon links
3356,7,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"September 25, 2016",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3357,8,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"September 25, 2016",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
3358,9,THE THANK YOU BOOK,by Mo Willems,Hyperion,"September 25, 2016",http://www.amazon.com/The-Thank-Book-Elephant-Piggie/dp/1423178289?tag=NYTBSREV-20
3359,10,THE TALE OF KITTY-IN-BOOTS,by Beatrix Potter. Illustrated by Quentin Blake,Warne,"September 25, 2016",http://www.amazon.com/Tale-Kitty-Boots-Peter-Rabbit/dp/0241249449?tag=NYTBSREV-20
3360,1,WHAT DO YOU DO WITH A PROBLEM?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"September 18, 2016",http://www.amazon.com/What-Do-You-Problem/dp/1943200009?tag=NYTBSREV-20
3361,2,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"September 18, 2016",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3362,3,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"September 18, 2016",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
3363,4,THE THANK YOU BOOK,by Mo Willems,Hyperion,"September 18, 2016",http://www.amazon.com/The-Thank-Book-Elephant-Piggie/dp/1423178289?tag=NYTBSREV-20
3364,5,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"September 18, 2016",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
3365,6,WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"September 18, 2016",http://www.amazon.com/What-Do-You-Idea/dp/1938298071?tag=NYTBSREV-20
3366,7,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"September 18, 2016",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
3367,8,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"September 18, 2016",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
3368,9,THEY ALL SAW A CAT,by Brendan Wenzel,Chronicle,"September 18, 2016",http://www.amazon.com/They-All-Saw-Brendan-Wenzel/dp/1452150133?tag=NYTBSREV-20
3369,10,LAST STOP ON MARKET STREET,by Matt de la Peña. Illustrated by Christian Robinson,Putnam,"September 18, 2016",http://www.amazon.com/Last-Stop-Market-Street-Matt/dp/0399257748?tag=NYTBSREV-20
3370,1,WHAT DO YOU DO WITH A PROBLEM?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"September 11, 2016",http://www.amazon.com/What-Do-You-Problem/dp/1943200009?tag=NYTBSREV-20
3371,2,WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"September 11, 2016",http://www.amazon.com/What-Do-You-Idea/dp/1938298071?tag=NYTBSREV-20
3372,3,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"September 11, 2016",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3373,4,THE THANK YOU BOOK,by Mo Willems,Hyperion,"September 11, 2016",http://www.amazon.com/The-Thank-Book-Elephant-Piggie/dp/1423178289?tag=NYTBSREV-20
3374,5,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"September 11, 2016",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
3375,6,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"September 11, 2016",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
3376,7,LAST STOP ON MARKET STREET,by Matt de la Peña. Illustrated by Christian Robinson,Putnam,"September 11, 2016",http://www.amazon.com/Last-Stop-Market-Street-Matt/dp/0399257748?tag=NYTBSREV-20
